High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
-2.165005345,-2.167236463,0.184196855,-2.135297913,-2.147655402,-2.183698284,-2.123414445,-2.078078746,2.251489785,0.854688524,0.092329303,0.733366278,-0.99265439,-0.589689154,1
-2.139556891,-2.11514888,-0.220147046,-2.101551833,-2.130698491,-2.147666948,-2.116320719,-2.073939636,2.326699809,0.824369975,-0.292316766,0.219254522,-0.949335742,-0.50731793,1
-2.051837575,-2.052943289,0.062079763,-2.031214936,-2.096976374,-2.106329668,-2.107696374,-2.069306972,2.326699809,0.85089869,-0.443325963,0.285179918,-0.948062443,-0.392017155,1
-2.04325827,-1.99073711,0.157277025,-2.023164462,-2.026689423,-2.081758914,-2.099858994,-2.064507504,2.226419777,0.837002504,-0.429079813,0.243179061,-0.906018113,-0.408132173,1
-2.04070366,-1.974595463,0.096621126,-2.009665793,-2.018644665,-2.053223278,-2.091933456,-2.059204298,2.126139745,0.872374418,-0.562993629,-0.003509517,-0.934047624,-0.455883417,1
-2.008411534,-1.967464274,0.121858467,-1.976305171,-2.005155582,-2.021407533,-2.082900403,-2.053534248,2.176279761,0.882480644,-0.696907446,-0.181614417,-0.967172623,-0.461453843,1
-1.990144467,-1.946166572,-0.685132466,-1.952008393,-1.971963316,-1.991482674,-2.074364212,-2.04821266,2.326699809,0.881217239,-0.99037815,0.029984837,-0.940417429,-0.483736773,0
-1.98773459,-1.941926324,-0.42078031,-1.970038398,-1.947539124,-1.979240751,-2.065981903,-2.042988093,2.301629801,0.902693094,-0.78808281,-0.047637,-0.96844694,-0.593167148,1
-1.989566121,-1.941878092,-0.709938399,-1.960203633,-1.965556326,-1.966641776,-2.058500307,-2.037767736,2.351769817,0.896376703,-0.913448936,-0.43946778,-0.973543319,-0.658029217,1
-1.956165547,-1.911666398,-0.15568038,-1.918214061,-1.955728545,-1.94834154,-2.048680322,-2.03239475,2.351769817,0.915325876,-1.064458133,-0.315591835,-0.996476452,-0.702001271,0
-1.954719384,-1.90578805,2.312819148,-1.930410998,-1.913865229,-1.939157744,-2.038648785,-2.027014454,2.351769817,0.93048534,-1.064458133,0.073580663,-0.964624879,-1.001545254,0
-1.968793283,-1.956911589,-0.579466381,-1.971870348,-1.925957065,-1.943132283,-2.03240933,-2.022148087,2.351769817,0.934275048,-0.477516725,0.264445318,-1.020683902,-0.985727752,0
-1.985421203,-1.988520817,0.328862182,-1.989996862,-1.967386974,-1.94712613,-2.023974116,-2.016941906,2.426979841,0.887533883,-0.184046021,-0.181082761,-0.99265439,-1.050589821,1
-1.964647772,-1.941444596,-0.314107607,-1.940004479,-1.985500617,-1.943084116,-2.016373941,-2.011439774,2.477119857,0.917852432,-0.674113605,0.50900727,-1.028328024,-1.027309859,0
-1.978384548,-1.964524507,-0.466279424,-2.002241468,-1.935543733,-1.959898683,-2.010975905,-2.005508335,2.452049849,0.883743922,-0.298015226,0.026794899,-1.020683902,-1.060637731,1
-1.983059571,-1.953201302,-0.89033865,-1.948778199,-1.997254904,-1.963574113,-2.003362896,-1.99933433,2.426979841,0.93048534,-0.417682892,0.378751447,-1.00666921,-1.070984389,0
-1.948501711,-1.951659657,-0.559894859,-1.973847072,-1.944311223,-1.963969672,-1.997952065,-1.993437674,2.426979841,0.951961069,-0.36924598,-0.137486935,-1.09203117,-1.066805664,1
-1.953129077,-1.925302954,-1.004115196,-1.915610599,-1.969362295,-1.949084374,-1.990457656,-1.987929778,2.477119857,1.007545055,-0.645621303,-0.021054179,-0.976090935,-1.015870278,0
-1.95255073,-1.924290683,-0.939475968,-1.92004601,-1.911263621,-1.945090522,-1.983498574,-1.982439169,2.477119857,1.013861699,-0.537350558,-0.306022019,-0.990105755,-0.937777362,1
-1.922619648,-1.880057763,-0.378315428,-1.889481872,-1.915551219,-1.922526406,-1.975667594,-1.977044475,2.276559793,1.034074023,-0.665565914,0.051251094,-0.969721258,-0.941159455,0
-1.921222319,-1.89263381,-1.171141813,-1.923323873,-1.885104633,-1.917432792,-1.969130016,-1.971434684,2.013324709,1.026494228,-0.414833662,-0.336858091,-0.973543319,-0.909424888,1
-1.90632885,-1.874805244,-0.367213874,-1.884371467,-1.918874972,-1.899527994,-1.961042604,-1.965983723,1.750089625,1.032810745,-0.648470533,0.493057577,-0.928951245,-0.879978238,0
-1.916884418,-1.934409279,0.709076021,-1.964205335,-1.879950226,-1.909252197,-1.95739637,-1.96069359,1.750089625,0.954487372,-0.235332163,0.226166055,-0.941691747,-0.745378296,1
-1.959635626,-1.921303271,-0.311835527,-1.933881884,-1.959727405,-1.912020867,-1.949698409,-1.955579119,1.725019617,0.919115837,-0.326507528,0.663719288,-0.965899197,-0.732644138,0
