Date,High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
4/16/2013,1575.349976,1552.359985,3654700000,1574.569946,1552.359985,1579.375976,1560.036987,1449.369898,2.13,20.73,13.96,21.58,82.300003,16.37139893,0
4/17/2013,1574.569946,1543.689941,4250310000,1552.01001,1574.569946,1572.231982,1560.44432,1450.470698,2.16,20.209999,16.51,33.01,81.900002,17.70783343,0
4/18/2013,1554.380005,1536.030029,3890800000,1541.609985,1552.030029,1561.87998,1560.44932,1451.533548,2.15,20.620001,17.559999,25.4,82.790001,18.36139793,1
4/19/2013,1555.890015,1539.400024,3569870000,1555.25,1541.609985,1555.159985,1560.815653,1452.498998,2.14,20.49,14.97,24.59,83.139999,18.6749705,1
4/22/2013,1565.550049,1548.189941,2979880000,1562.5,1555.25,1557.187988,1561.192985,1453.483948,2.09,20.76,14.39,14.67,83.260002,19.09426464,1
4/23/2013,1579.579956,1562.5,3565150000,1578.780029,1562.5,1558.030005,1561.944987,1454.507748,2.07,20.809999,13.48,18.86,83.57,18.76640993,1
4/24/2013,1583,1575.800049,3598240000,1578.790039,1578.780029,1563.386011,1562.821989,1455.563798,2.08,21.309999,13.61,16.39,83.830002,18.56069529,1
4/25/2013,1592.640015,1578.930054,3908580000,1585.160034,1578.930054,1572.09602,1563.843323,1456.716198,2.09,21.75,13.62,22.68,83.769997,18.08712357,0
4/26/2013,1585.780029,1577.560059,3198620000,1582.23999,1585.160034,1577.494018,1564.47699,1457.865098,2.09,21.620001,13.61,16,84.279999,17.64283993,1
4/29/2013,1596.650024,1582.339966,2891200000,1593.609985,1582.339966,1583.716015,1565.573991,1459.125798,2.19,21.969999,13.71,16.31,83.809998,17.74570157,1
4/30/2013,1597.569946,1586.5,3745070000,1597.569946,1593.579956,1587.473999,1567.089656,1460.406398,2.2,21.67,13.52,33.42,83.860001,17.07498621,0
